Year,Abbotsford,Albert Park,Alphington,Altona,Armadale,Ascot Vale,Ashburton,Aspendale,Avondale Heights,Balwyn,Bayswater,Beaumaris,Bentleigh,Berwick,Blackburn,Boronia,Box Hill,Brighton,Brighton East,Broadmeadows,Brunswick,Bulleen,Bundoora,Burwood,Burwood East,Camberwell,Canterbury,Carlton,Carlton North,Carnegie,Carrum,Carrum Downs,Caulfield,Chadstone,Chelsea,Cheltenham,Clayton,Clifton Hill,Coburg,Coburg North,Collingwood,Craigieburn,Cranbourne,Croydon,Dandenong,Dandenong North,Deer Park,Doncaster,Doncaster East,Donvale,Dromana,East Melbourne,Elsternwick,Eltham,Elwood,Endeavour Hills,Epping,Essendon,Fairfield,Fawkner,Ferntree Gully,Fitzroy,Fitzroy North,Flemington,Flinders,Footscray,Forest Hill,Frankston,Gladstone Park,Glen Iris,Glen Waverley,Glenroy,Greensborough,Hampton,Hampton Park,Hastings,Hawthorn,Heidelberg,Heidelberg West,Hoppers Crossing,Hughesdale,Hurstbridge,Ivanhoe,Ivanhoe East,Keilor,Keilor East,Kensington,Kew,Lalor,Lilydale,Malvern,Malvern East,Melton,Mentone,Middle Park,Mill Park,Mitcham,Mont Albert,Montmorency,Moonee Ponds,Mordialloc,Mornington,Mount Waverley,Mulgrave,Murrumbeena,Narre Warren,Newport,Noble Park,North Melbourne,Northcote,Nunawading,Oak Park,Oakleigh,Pakenham,Parkdale,Parkville,Pascoe Vale,Pascoe Vale South,Port Melbourne,Portsea,Prahran,Preston,Research,Reservoir,Richmond,Ringwood,Rowville,Roxburgh Park,Scoresby,Seaford,Seddon,South Melbourne,South Yarra,Spotswood,Springvale,St Albans,St Kilda,Sunbury,Sunshine,Surrey Hills,Sydenham,Templestowe,Thomastown,Thornbury,Toorak,Tullamarine,Vermont,Wantirna,Werribee,West Footscray,West Melbourne,Whittlesea,Williamstown,Windsor,Yarraville
2010,736000,1167500,1000000,628500,1800000,750000,985000,637500,576000,1450000,453500,1107500,910000,450000,850000,450000,874000,1810000,1255000,384000,710000,728000,500000,778000,678000,1345000,1827500,900000,930000,880000,500000,330000,1180000,670500,585500,696000,650500,825000,640000,533000,751500,365000,327000,465000,430000,400000,355000,795000,750000,715000,446500,1621000,1240000,614000,1350000,400000,380000,952000,810000,460000,449000,805500,900000,670000,760000,574000,620000,367000,426500,1320000,735000,508500,530000,1295000,333000,355000,1430000,815000,475000,327500,838000,491000,1032500,1415000,603000,580000,675500,1650000,387000,438500,1741500,1188000,250000,680000,1512500,420000,635000,1310000,580000,852500,650000,512000,806000,550000,835000,368500,655000,415000,805000,822000,641000,641000,741000,335000,755000,1335000,609000,655000,1017500,1387500,940000,615000,614500,520000,875500,553500,540000,371000,488000,412500,645500,960000,1375000,635000,490000,385000,930000,343000,458000,1204000,399000,805000,418000,720000,2590000,440000,610000,545000,308500,558500,816000,345000,884000,900000,647000
2011,730000,1390000,985000,575000,1615000,735000,890000,630000,538000,1363000,447500,1050000,882000,440000,786000,440000,975000,1730000,1100000,357000,670000,722500,490000,799000,630000,1322000,1730000,1055000,833000,905500,492500,345000,1150000,625000,525000,644000,617000,780000,611000,540000,697500,360000,325000,465000,400500,395000,357000,770000,720000,712500,455000,1737500,1200000,625000,1150000,400000,385000,895000,800000,439000,430500,880000,855000,655000,822000,568000,560000,357000,385000,1200000,718000,457500,519000,1282500,335000,350000,1330000,770000,420000,328000,740000,457500,980000,1300000,570000,587500,650000,1650000,380000,456000,1542500,1120000,256000,692500,1345000,410000,595000,1310000,560000,780500,660000,525000,745000,531000,822000,365000,680000,410000,750000,780000,585000,590000,700000,340000,755500,1100000,575000,612500,915000,1625000,955000,602000,657000,500000,825000,506000,527500,360000,472000,415000,620500,925000,1125000,602500,470000,387000,860000,360000,430000,1212000,420500,804000,400000,690000,2617500,420000,552500,528000,315000,525000,885000,372500,900000,824000,607000
2012,714000,1265000,1000000,570000,1500000,701500,870000,610000,536000,1295000,426500,997000,820000,451000,750000,430000,852000,1789500,1075000,320000,673000,707000,485000,765000,617000,1300000,1790000,860500,940000,845000,499000,334000,1085000,595000,545000,635500,572500,801500,594000,489500,734000,350000,313000,450000,400000,370000,345000,720000,682000,681000,451000,2480000,1155000,590500,1287500,390000,365000,920000,825000,406500,429500,918500,868000,652000,710000,568000,565000,340000,380000,1200000,720000,437500,491000,1200000,320000,347000,1405000,750000,400000,312500,741500,445000,907500,1200000,592500,527500,650000,1500000,360500,420000,1550000,1039000,250000,665000,1420500,405000,584500,1177500,561000,775000,642500,501500,733000,533000,785000,356000,630000,382000,775000,786000,591500,540000,645000,335000,677000,1360000,540000,627500,960000,1398000,932500,580000,622500,468500,823000,503500,530000,355000,480000,392500,670000,930000,1238000,655000,448000,348000,861000,350000,400000,1121500,415000,811000,365000,715500,2775000,393500,571000,515000,300000,532500,720000,365000,901000,818000,613000
2013,792500,1360000,1080000,575000,1675000,735000,1000000,620000,532500,1530000,458500,1074000,900000,453000,860500,459500,855000,1802500,1230000,325000,750000,780000,530000,780000,685500,1382000,1950000,1002500,890500,865000,510000,330000,1172500,719000,577500,695000,645000,865000,633000,538500,741000,360000,315000,470000,405000,390000,348000,850000,789000,735000,462000,1790000,1365000,631500,1350000,400000,366500,870000,915000,410000,451000,945000,976000,735500,765000,600000,650500,350000,392500,1310000,815000,454000,534000,1270000,330000,345000,1575000,772500,425500,321500,820000,482000,1100000,1310000,572500,560000,690000,1751000,365000,469000,1508500,1200000,245000,705000,1587500,408000,650000,1316000,570000,830500,680000,525000,820000,577500,870000,370000,695000,400000,802500,818000,637500,576500,753500,335000,760000,1200000,580000,645500,995000,1195000,990000,632500,605500,510000,900000,551000,570000,365000,509000,419000,675000,1030000,1352500,680000,451500,350000,892000,355000,435000,1323000,425000,865000,390000,729000,2875000,395000,610000,576000,309000,553000,905000,375000,920000,835000,696000
2014,862500,1503000,1029000,646500,1750000,810000,1200000,690000,560000,1780000,525000,1129500,1050000,487500,936000,500500,1067000,1940000,1300000,345000,815000,861000,553500,921000,782000,1655000,2100000,1020000,1095000,1007500,536000,346000,1322000,823500,580000,775000,750000,965000,710000,600000,775000,362000,331500,525000,439000,415500,365000,999000,894500,840000,492000,1850000,1315000,670000,1412500,432000,386500,942000,945000,444000,505000,1130000,1014000,730000,808000,645000,721000,372000,400000,1500000,960000,500000,574000,1340000,337500,368000,1606500,840500,461000,340000,856000,482000,1203000,1513000,633000,599000,730000,1950000,385000,480000,1946000,1380000,240000,810000,2125000,430500,730000,1490000,614000,920000,755000,558000,950000,627000,982500,386000,740000,440000,832000,935000,721500,626000,801500,350000,860000,1525000,655000,701000,917500,1305000,1175000,690000,685000,541000,961000,660000,617500,385000,570000,450000,730000,1200000,1450000,640000,530000,373500,1225000,360000,483500,1450000,415000,951500,420000,840000,3391000,412000,725000,667500,315000,637500,916000,375000,970000,956500,710000
2015,925000,1700000,1296500,718000,2172500,885000,1435000,795500,650000,2210000,632500,1345000,1245000,535000,1200500,592500,1350000,2302500,1600000,370000,860500,1095000,600500,1190000,982500,1912500,2523000,830000,1177500,1300000,611000,370000,1650000,925000,730000,866000,976000,1085000,778000,665000,914000,390000,360000,605000,485000,481000,390000,1176000,1113500,964000,552000,2750000,1621000,750000,1631000,496500,400000,1228000,1111500,510000,599000,1297500,1188000,830000,839000,690500,892000,426000,460000,1800000,1212500,560000,635000,1650000,370000,365000,1916500,1060000,580000,365500,1165000,547500,1125000,1542500,703000,651000,822000,2080000,445000,534000,2230000,1610000,255000,950000,2317000,480000,885500,1863000,732000,1006000,850000,641000,1268000,765500,1204000,430000,825000,510000,926000,1008500,880000,660000,1002000,367000,965000,1360500,720000,745000,1252500,1800000,1350000,791000,686000,615000,1150000,777500,710000,400000,661000,475000,830000,1310000,1700000,795000,629500,428000,1164000,370000,530500,1750000,440000,1180000,436000,918000,3987500,472500,855000,764000,335000,697000,1005000,400000,1120000,1094000,810000
2016,1187500,1775000,1272500,825000,2367500,1010000,1567500,891000,750000,2180000,693000,1455000,1380000,583000,1241000,648500,1360500,2740000,1750000,416500,946000,1170000,651000,1219000,1021000,2090000,2620000,1050000,1360000,1348500,750000,430000,1715000,1017500,890000,940500,1010500,1220000,876000,780000,920000,425000,406000,695000,555500,551000,441000,1297500,1230000,970000,583000,3655000,1723500,820000,1830000,550000,455000,1365000,1303000,587500,660000,1600000,1279000,918000,1225000,775000,933500,474000,525000,1935000,1221000,600000,717000,1800000,410000,400000,2245000,1150000,630000,415000,1222500,614500,1400000,1764500,805000,720000,908000,2207500,499500,633500,2328500,1729000,280500,982500,2238500,560000,941000,1921000,780500,1110500,933000,745000,1265000,786000,1286000,486500,950000,600000,1200000,1190000,970000,822500,1050000,400000,1100000,2130000,805000,840000,1380000,1701000,1430000,882000,825500,710000,1265000,837500,778000,435000,700000,580500,934500,1595000,1890000,917500,685000,500000,1305000,395000,675000,1800500,505000,1260000,493000,1079500,4900000,530000,900000,801000,403000,798000,1104500,448500,1282500,1505000,900500
2017,1280000,2150000,1560000,950000,2300000,1180000,1812500,1125000,845500,2340000,800500,1611000,1470000,670000,1410000,735000,1752500,3050000,1900000,546000,1200000,1300000,753000,1357000,1126500,2300000,3140000,1470000,1628000,1509000,835500,525000,1914000,1131000,914000,1171000,1250000,1390000,1000000,821000,1205000,502500,510000,810000,619000,633500,552500,1366500,1360000,1201000,690000,3585000,2087500,930000,1900000,630500,556000,1402000,1496000,705000,749000,1625000,1450000,1100000,1525000,882000,1060000,600000,645000,2025000,1337500,730000,830000,2022500,505000,507500,2650000,1280000,730500,516000,1407000,714000,1515000,1975000,845000,843000,1019000,2320000,625500,710500,2750000,1824000,368500,1097500,2370000,668500,1070000,2100000,890000,1310000,1120000,800000,1416000,900500,1420000,590000,1080000,680000,1390000,1325000,1090000,853500,1210000,470000,1300000,2375000,891000,975000,1485000,1925000,1525000,996000,950000,812500,1302500,910500,867000,515000,878500,700000,982500,1532500,2035000,1027500,750000,610000,1551000,492000,765000,2170000,590000,1415000,653000,1225000,5100000,655000,1065000,953000,470000,887500,1350000,469500,1440000,1420000,1000000
2018,1192500,2070000,1720000,932500,2341500,1197500,1712500,980000,830000,2420000,753000,1674000,1394000,690500,1370500,742500,1700000,2888000,1890000,575000,1095000,1230000,730000,1320000,1048000,2155000,2536500,1600000,1445000,1445000,860000,575000,1701000,1050000,905000,1105000,1255000,1360000,969000,814000,1110000,547000,540000,792500,640000,640000,580000,1320000,1222000,1182500,785500,2675000,1970000,942500,2140000,651000,600000,1682000,1316000,720000,732500,1450000,1475000,926500,1697500,899000,935000,605000,630000,1927500,1300000,725000,815000,1905000,550000,519500,2506500,1114000,700000,552000,1260000,731000,1600000,1914000,815000,830000,1020000,2380000,623500,706500,2661000,1900000,415000,1080000,2685000,657000,1000000,1990000,926000,1360000,1046500,850000,1320000,860000,1350000,614000,1059000,680000,1182500,1345000,986000,878500,1250000,520000,1245000,2430000,901000,955000,1488000,2180000,1578000,980000,915000,790000,1311000,896500,840000,546000,835000,695000,1018500,1465000,1851000,1080000,786000,626500,1755000,545000,735000,1900000,620000,1308000,637000,1137500,4700000,665500,980000,915000,510000,875000,1370000,577500,1415000,1422500,1045000
2019,1050000,1980000,1592500,890000,2495000,1088500,1641500,994000,810000,2392500,720000,1587500,1380000,671000,1305000,684000,1536500,2662500,1700000,526000,1036500,1105000,730000,1165500,1020000,2085000,2902500,1308000,1555000,1313500,770000,537000,1762500,958000,856500,1035000,1150000,1348000,935500,805000,1060000,525000,500000,735000,601000,606500,550000,1260000,1198000,1140000,715000,3413500,1825000,925000,1950000,620000,546000,1448500,1295000,665000,692000,1400000,1385000,1000000,1670000,812000,900000,581000,636500,1961000,1285500,700000,798000,1900000,502000,506000,2200000,1107500,671500,526500,1150500,700000,1580000,1775000,836500,835000,978000,2345000,590000,676000,2570000,1789000,385000,1031000,2775000,653000,942000,1690000,856000,1300000,1017500,807000,1270000,840000,1243000,589000,1055000,625500,1352500,1303500,951000,840000,1101000,486000,1157500,1480000,855000,950000,1400000,1950000,1520000,940000,937500,754000,1260000,803000,820000,543000,767000,655000,960000,1355000,1850000,950000,743000,591000,1600000,533500,720000,1890000,599500,1281500,593500,1150000,4550000,612000,937000,860000,505000,785000,1017500,580000,1350000,1350000,974000
2020,1205000,1890000,1857500,927500,2575000,1275000,1590000,1115000,840000,2260000,746500,1705000,1505000,701500,1404000,715000,1470000,3065000,1950000,555000,1100000,1178500,744000,1277500,1050000,2060000,2700000,1415000,1500000,1420000,830000,576000,1811000,1105000,965000,1160000,1050000,1375000,1095000,912500,1158000,567500,520000,787500,625000,640000,580000,1280000,1250000,1192500,760000,2350000,2101500,1000000,2050000,671000,576500,1485000,1395500,710000,750000,1397500,1595000,1035000,2085000,880000,986000,621500,640000,2125000,1295000,740000,850000,2000000,539000,562000,2492500,1300000,713000,550000,1250000,775000,1630000,2055000,880000,841000,1103500,2210000,623500,720000,2748000,1865000,390000,1051000,2652500,690000,1065000,2200000,916500,1290000,1045000,890000,1296500,834500,1410500,610000,1100000,674000,1135000,1413000,1039000,903000,1200000,526000,1200000,1725000,930000,1006000,1525000,2515000,1632500,1026000,1179000,805000,1353500,900000,840000,574000,785000,694000,1100000,1580000,1977500,1000000,778000,600000,1296500,570000,755500,1844500,637500,1371500,622000,1250000,5200000,628000,1000000,910500,523000,835000,1215000,610000,1370000,1350000,1038500